### AlicePawn -- 718 own properties (offsets from live-process dump)
  +0x988   LockedZones                                    ArrayProperty     
  +0x2020  BoostSwimTurnSpeed                             FloatProperty     
  +0x2024  BoostCoolDownTime                              FloatProperty     
  +0x2028  BootSwimTime                                   FloatProperty     
  +0x202c  SlowSwimSpeed                                  FloatProperty     
  +0x2030  ChangeSwimModleParticle                        ObjectProperty    
  +0x2034  SwimAttackParticle                             ObjectProperty    
  +0x2038  AttackRadius                                   FloatProperty     
  +0x203c  SwimAmbientSoundCue                            ObjectProperty    
  +0x2040  SwimAttackSoundCue                             ObjectProperty    
  +0x2044  SwimAmbientAudio                               ComponentProperty 
  +0x2048  SwimKnockBackDir                               StructProperty    
  +0x2054  curSwimSpeed                                   FloatProperty     
  +0x2058  curSwimTurnSpeed                               FloatProperty     
  +0x205c  LastSwimSpeed                                  StructProperty    
  +0x2068  DirAfterTurn180                                StructProperty    
  +0x2074  SwimSkeletalMeshComponent                      ComponentProperty 
  +0x2078  WaterWalkSkeletalMeshComponent                 ComponentProperty 
  +0x207c  WaterWalkBow                                   ComponentProperty 
  +0x2080  WaterWalkLight                                 ComponentProperty 
  +0x2084  WaterWalkTailfin                               ComponentProperty 
  +0x2088  SwimBow                                        ComponentProperty 
  +0x208c  SwimLight                                      ComponentProperty 
  +0x2090  SwimTailfin                                    ComponentProperty 
  +0x2094  SwimHairPhysicsAsset                           ObjectProperty    
  +0x2098  SwimHair                                       ObjectProperty    
  +0x209c  SwimBoostDamage                                FloatProperty     
  +0x20a0  SwimSpeedInertia                               FloatProperty     
  +0x20a4  SlowSwimSpeedInertia                           FloatProperty     
  +0x20a8  WaterWalkCameraHeight                          FloatProperty     
  +0x20ac  WaterWalkCameraInertia                         FloatProperty     
  +0x20b0  SprintSpeed                                    FloatProperty     
  +0x20b4  SprintOffSpeed                                 FloatProperty     
  +0x20b8  PreSprintDuration                              FloatProperty     
  +0x20bc  HorizonThreshold                               FloatProperty     
  +0x20c0  VerticalThreshold                              FloatProperty     
  +0x20c4  GlideEmitter                                   ObjectProperty    
  +0x20c8  TempProjPS                                     ObjectProperty    
  +0x20cc  TempSplashPS                                   ObjectProperty    
  +0x20d0  TempSplashLocationOffset                       StructProperty    
  +0x20dc  MorphTime_EyeStaff                             FloatProperty     
  +0x20e0  MorphTime_TeapotCannon                         FloatProperty     
  +0x20e4  MorphTime_HobbyHorse                           FloatProperty     
  +0x20e8  MorphTime_VorpalBlade                          FloatProperty     
  +0x20ec  MorphNameSrc                                   NameProperty      
  +0x20f4  MorphNameDest                                  NameProperty      
  +0x20fc  MorphNameDefault                               NameProperty      
  +0x2104  MorphWindForce                                 StructProperty    
  +0x2110  MorphWindPerturbAmplitude                      StructProperty    
  +0x211c  WeaponFadeInTime                               FloatProperty     
  +0x2120  WeaponFadeInDelay                              FloatProperty     
  +0x2124  WeaponFadeOutTime                              FloatProperty     
  +0x2128  ShowWeaponParticles                            ArrayProperty     
  +0x2134  HideWeaponParticles                            ArrayProperty     
  +0x2140  SlideTurnSpeed                                 FloatProperty     
  +0x2144  SlideBrakeSpeed                                FloatProperty     
  +0x2148  SlideBoostSpeed                                FloatProperty     
  +0x214c  SlideTurnCorrectionTime                        FloatProperty     
  +0x2150  SlideMinSpeedToRotate                          FloatProperty     
  +0x2154  SlideParticleEmitter                           ObjectProperty    
  +0x2158  SlideBumpDamage                                FloatProperty     
  +0x215c  RollBumpDamage                                 FloatProperty     
  +0x2160  InputJoyUp                                     FloatProperty     
  +0x2164  InputJoyRight                                  FloatProperty     
  +0x2168  RegenDelay                                     FloatProperty     
  +0x216c  HealthLevels                                   ArrayProperty     
  +0x2178  MyClonePawn                                    ObjectProperty    
  +0x217c  WatchComponent                                 ComponentProperty 
  +0x2180  RespawnCloneDelay                              FloatProperty     
  +0x2184  DamageArray                                    ArrayProperty     
  +0x2190  CurHealthLevel                                 IntProperty       
  +0x2194  OldHealthLevel                                 IntProperty       
  +0x2198  HealthRegenWaitCount                           FloatProperty     
  +0x219c  HealthRegen                                    FloatProperty     
  +0x21a0  CurrentContextActor                            ObjectProperty    
  +0x21a4  AnimSeqForContext                              NameProperty      
  +0x21ac  LastJumpHeight                                 FloatProperty     
  +0x21b0  OldJumpPitch                                   FloatProperty     
  +0x21b4  MinJumpPitch                                   FloatProperty     
  +0x21b8  JumpPitchFactor                                FloatProperty     
  +0x21bc  AButtonPress                                   FloatProperty     
  +0x21c0  VelocityOfSlideOffPawn                         StructProperty    
  +0x21cc  DeathCamera                                    ObjectProperty    
  +0x21d0  RespawnCamera                                  ObjectProperty    
  +0x21d4  DeathParticle                                  ObjectProperty    
  +0x21d8  RespawnParticle                                ObjectProperty    
  +0x21dc  DeathSound                                     ObjectProperty    
  +0x21e0  RespawnSound                                   ObjectProperty    
  +0x21e4  DeathParticleEmitter                           ObjectProperty    
  +0x21e8  DoubleJumpParticleEmitter                      ObjectProperty    
  +0x21ec  BlinkTime                                      FloatProperty     
  +0x21f0  BlinkMinTime                                   IntProperty       
  +0x21f4  BlinkDeltaTime                                 IntProperty       
  +0x21f8  PhysMaterial                                   ObjectProperty    
  +0x21fc  PhysicalMaterialSocket                         NameProperty      
  +0x2204  SmokeParticleEmitter                           ObjectProperty    
  +0x2208  SmokeSkinMaterial                              ObjectProperty    
  +0x220c  SmartDropHealthEasyLevel                       ArrayProperty     
  +0x2218  SmartDropHealthNormalLevel                     ArrayProperty     
  +0x2224  SmartDropHealthHardLevel                       ArrayProperty     
  +0x2230  SmartDropHealthVeryHardLevel                   ArrayProperty     
  +0x223c  CheshireCatSkelActor                           ObjectProperty    
  +0x2240  fStepUpAccumZ                                  FloatProperty     
  +0x2244  fStepUpBugZ                                    FloatProperty     
  +0x2248  ColdBreathParticle                             ObjectProperty    
  +0x224c  BubbleParticle                                 ObjectProperty    
  +0x2250  EntryInhabitParticle                           ObjectProperty    
  +0x2254  LeaveInhabitParticle                           ObjectProperty    
  +0x2258  EntryInhaitSound                               ObjectProperty    
  +0x225c  LeaveInhaitSound                               ObjectProperty    
  +0x2260  AliceShield                                    StructProperty    
  +0x228c  RollPhysicsAsset                               ObjectProperty    
  +0x2290  RollSphere                                     ComponentProperty 
  +0x2294  RollMesh                                       ObjectProperty    
  +0x2298  RollMaxAngularVelocity                         FloatProperty     
  +0x229c  RollMoveImpulse                                FloatProperty     
  +0x22a0  RollJumpImpulse                                FloatProperty     
  +0x22a4  RollHorizontalDamping                          FloatProperty     
  +0x22a8  RollVerticalDamping                            FloatProperty     
  +0x22ac  RollExtraGravity                               FloatProperty     
  +0x22b0  RollJumpTraceHeight                            FloatProperty     
  +0x22b4  RollJumpTraceDistance                          FloatProperty     
  +0x22b8  RollingSlideSoundComponent_Slow                ComponentProperty 
  +0x22bc  RollingSlideSoundComponent_Fast                ComponentProperty 
  +0x22c0  RollingSlideSound_Slow                         ObjectProperty    
  +0x22c4  RollingSlideSound_Fast                         ObjectProperty    
  +0x22c8  RollingSlideThreshold_Slow                     FloatProperty     
  +0x22cc  RollingSlideThreshold_Fast                     FloatProperty     
  +0x22d0  RollingSlideRefireDelay                        FloatProperty     
  +0x22d4  RollingSlideDisableDelay                       FloatProperty     
  +0x22d8  RollingSlideSoundFadeInTime                    FloatProperty     
  +0x22dc  RollingSlideSoundFadeOutTime                   FloatProperty     
  +0x22e0  RollingLastSlideTime                           FloatProperty     
  +0x22e4  RollingImpactSound                             ObjectProperty    
  +0x22e8  RollingImpactSoundComponent                    ComponentProperty 
  +0x22ec  RollingImpactThreshold                         FloatProperty     
  +0x22f0  RollingImpactRefireDelay                       FloatProperty     
  +0x22f4  RollingLastImpactTime                          FloatProperty     
  +0x22f8  HeadSwitchStep                                 IntProperty       
  +0x22fc  HeadSwitchTime                                 FloatProperty     
  +0x2300  HeadSwitch                                     ObjectProperty    
  +0x2304  HeadSwitchStep2TickTime                        FloatProperty     
  +0x2308  Pinball_Cannon                                 ObjectProperty    
  +0x230c  CloneArcheType                                 ObjectProperty    
  +0x2310  pVorpalBlade                                   ObjectProperty    
  +0x2314  pHobbyHorse                                    ObjectProperty    
  +0x2318  FakeBase                                       ObjectProperty    
  +0x231c  StompDamege                                    IntProperty       
  +0x2320  RepulsorSecond                                 FloatProperty     
  +0x2324  StompDamageType                                ClassProperty     
  +0x2328  Repulsion                                      FloatProperty     
  +0x232c  AnimSlowFactor                                 FloatProperty     
  +0x2330  DashBreakPhysicsAsset                          ObjectProperty    
  +0x2334  DelayToActivateAimingModeWhenQuitLockOn        FloatProperty     
  +0x2338  ViewPictchMaxWhenAiming                        FloatProperty     
  +0x233c  ViewPictchMinWhenAiming                        FloatProperty     
  +0x2340  AimingFOVBlendTime                             FloatProperty     
  +0x2344  AimingFOVOffBlendTime                          FloatProperty     
  +0x2348  AimingZoomDelay                                FloatProperty     
  +0x234c  AimingZoomDelayElapsed                         FloatProperty     
  +0x2350  AimingFOVOffBlendTimeElapsed                   FloatProperty     
  +0x2354  AimingFOVBlendTimeElapsed                      FloatProperty     
  +0x2358  TerminationDistance                            FloatProperty     
  +0x235c  FadeDistance                                   FloatProperty     
  +0x2360  MinDistance                                    FloatProperty     
  +0x2364  BlobShadow                                     StructProperty    
  +0x23a0  ShadowScale                                    FloatProperty     
  +0x23a4  DistanceScale                                  FloatProperty     
  +0x23a8  BlobShadowMatAlpha                             NameProperty      
  +0x23b0  BlobShadowComponent                            ComponentProperty 
  +0x23b4  OldBlobShadowLoc                               StructProperty    
  +0x23c0  OldShadowScale                                 FloatProperty     
  +0x23c4  MaxTimeFallingEdgeToJump                       FloatProperty     
  +0x23c8  AttachNPCSockets                               ArrayProperty     
  +0x23d4  TimeDelayToCauseDamageWhenNPCAttached          FloatProperty     
  +0x23d8  TimeIntervalToCauseDamageWhenNPCAttached       FloatProperty     
  +0x23dc  NbOfAttachedNPC                                IntProperty       
  +0x23e0  AttachedNPCBiteAliceSoundCue                   ObjectProperty    
  +0x23e4  AttachedNPCAliceDamagedSoundCue                ObjectProperty    
  +0x23e8  AttachedNPCScareAliceSoundComp                 ComponentProperty 
  +0x23ec  AttachedNPCScareAliceSoundRepeatDelay          FloatProperty     
  +0x23f0  HysteriaLeftTime                               FloatProperty     
  +0x23f4  HysteriaClockCounter                           IntProperty       
  +0x23f8  HysteriaDuration                               FloatProperty     
  +0x23fc  IncraseDamagePercent                           FloatProperty     
  +0x2400  TriggrHealth                                   FloatProperty     
  +0x2404  ReactiveHealth                                 FloatProperty     
  +0x2408  RecoverHealth                                  FloatProperty     
  +0x240c  HysteriaReadySound                             ObjectProperty    
  +0x2410  HysteriaParticle                               ObjectProperty    
  +0x2414  TriggerAnimSequence                            ArrayProperty     
  +0x2420  TriggerCameraAnim                              ObjectProperty    
  +0x2424  HysteriaCameraAnim                             ObjectProperty    
  +0x2428  EnterHysteriaParticle                          ObjectProperty    
  +0x242c  EnterHysteriaSnd                               ObjectProperty    
  +0x2430  EnterHysteriaSnd2                              ObjectProperty    
  +0x2434  HysteriaDress                                  StructProperty    
  +0x2448  DefaultDress                                   StructProperty    
  +0x245c  DomainDress                                    StructProperty    
  +0x2470  DelayedDressData                               StructProperty    
  +0x247c  pAliceDressLoadingGFXMovieCallBack             ObjectProperty    
  +0x2480  MaxFrozenTime                                  FloatProperty     
  +0x2484  TimeLimitToCountFreezingHit                    FloatProperty     
  +0x2488  FreezingHitTimesToTriggerFrozenState           IntProperty       
  +0x248c  StartFrozenSound                               ObjectProperty    
  +0x2490  EndFrozenSound                                 ObjectProperty    
  +0x2494  DelayTimeToShowDodgeToEscapeUI                 FloatProperty     
  +0x2498  FrozenParticle                                 ObjectProperty    
  +0x249c  FrozenBreakParticle                            ObjectProperty    
  +0x24a0  FrozenLoopPS                                   ComponentProperty 
  +0x24a4  CurFrozenTime                                  FloatProperty     
  +0x24a8  LastTimeOfFreezingHit                          FloatProperty     
  +0x24ac  CurFreezingHitTimes                            IntProperty       
  +0x24b0  XPToTokenConversion                            IntProperty       
  +0x24b4  T2SmlXPAmount                                  StructProperty    
  +0x24c4  T2MedXPAmount                                  StructProperty    
  +0x24d4  T2LgeXPAmount                                  StructProperty    
  +0x24e4  T1MedXPAmount                                  StructProperty    
  +0x24f4  T1LgeXPAmount                                  StructProperty    
  +0x2504  T1BossXPAmount                                 StructProperty    
  +0x2514  SmallAmountXP                                  IntProperty       
  +0x2518  MiddleAmountXP                                 IntProperty       
  +0x251c  LargeAmountXP                                  IntProperty       
  +0x2520  ShrinkFlower                                   ObjectProperty    
  +0x2524  ShowPathTriggerParticle                        ObjectProperty    
  +0x2528  ShowPathTrailParticle                          ObjectProperty    
  +0x252c  ShowPathLifeTime                               FloatProperty     
  +0x2530  NearestSplineActor                             ObjectProperty    
  +0x2534  ShowPathParticleLocation                       StructProperty    
  +0x2540  UmbrellaArcheType                              ObjectProperty    
  +0x2544  UmbrellaAttachSocketName                       NameProperty      
  +0x254c  MinDeflectTime                                 FloatProperty     
  +0x2550  MaxDeflectTime                                 FloatProperty     
  +0x2554  MaxDeflectSpinningTime                         FloatProperty     
  +0x2558  CylinderRadiusWhileDeflect                     FloatProperty     
  +0x255c  bCanDeflectSpin                                IntProperty       
  +0x2560  UmbrellaInstance                               ObjectProperty    
  +0x2564  DeflectTime                                    FloatProperty     
  +0x2568  HoverJumpZ                                     FloatProperty     
  +0x256c  MediumFallingHeight                            FloatProperty     
  +0x2570  HeavyFallingHeight                             FloatProperty     
  +0x2574  WeaponDefence_Percent                          FloatProperty     
  +0x2578  ClothDefence_Percent                           FloatProperty     
  +0x257c  ClothWithWeaponDefence_Percent                 FloatProperty     
  +0x2580  NPCDropMoreXP_Percent                          FloatProperty     
  +0x2584  NPCDropMoreHP_Percent                          FloatProperty     
  +0x2588  BreakableDropMoreXP_Percent                    FloatProperty     
  +0x258c  BreakableDropMoreHP_Percent                    FloatProperty     
  +0x2590  ShrinkRecoverHPTimePerHP_AbsValue              FloatProperty     
  +0x2594  ShrinkFlower_RecoverHPTimePerHP_AbsValue       FloatProperty     
  +0x2598  ShrinkHPRecoverAccumulateTime                  FloatProperty     
  +0x259c  HPMaxClamp                                     IntProperty       
  +0x25a0  SonarVisibleTimeInc_Percent                    FloatProperty     
  +0x25a4  XPInsteadOfHP_AbsValue                         IntProperty       
  +0x25a8  AttackInc_Percent                              FloatProperty     
  +0x25ac  RecoverHPTimePerHP_AbsValue                    FloatProperty     
  +0x25b0  HPRecoverAccumulateTime                        FloatProperty     
  +0x25b4  MODDLC_Flesh_NPCDropMoreXP_Percent             FloatProperty     
  +0x25b8  MODDLC_Chess_NPCDropMoreHP_Percent             FloatProperty     
  +0x25bc  MODDLC_MadHatter_BreakableDropMoreXP_Percent   FloatProperty     
  +0x25c0  MODDLC_MadHatter_BreakableDropMoreHP_Percent   FloatProperty     
  +0x25c4  MODDLC_Rabbit_HPShrinkRecPerHP_AbsValue        FloatProperty     
  +0x25c8  MODDLC_Cheshire_HPMaxClamp_AbsValue            IntProperty       
  +0x25cc  MODDLC_Caterpillar_SonarVisibleTimeInc_Percent FloatProperty     
  +0x25d0  MODDLC_MatHatter_DLCTC_XPToHP_AbsValue         IntProperty       
  +0x25d4  MODDLC_Chess_DLCHH_AttackInc_Percent           FloatProperty     
  +0x25d8  MODDLC_Rabbit_DLCPG_AutoHPRecTimePerHP_AbsValue FloatProperty     

### AlicePawn -- 343 functions (path / native-script / storage bytes / flags)
  SCRIPT   AlicePawn.ActivateContextEventClass                              143    Final|Defined|Simulated|HasOptionalParms|Public|HasOutParms
        (byte InContextItem@0x0, array EventList@0x4, array ActivateIndices@0x10, bool bTest@0x1c, array ActivatedEvents@0x20, bool ReturnValue@0x2c, object Evt@0x30, object ContextEvt@0x34, array ContextEvents@0x38)
  SCRIPT   AlicePawn.ActivateDamage                                         133    Defined|Simulated|Public|HasDefaults
        (byte DamageStrength@0x0, struct DE@0x4, int I@0x14)
  SCRIPT   AlicePawn.ActivateHealthLevel                                    156    Defined|Simulated|Public|HasDefaults
        (int Index@0x0, struct HL@0x4)
  NATIVE   AlicePawn.ActivateShieldBlocking                                 7      Native|Public
        (bool bActive@0x0)
  SCRIPT   AlicePawn.AddMorphWindEffect                                     173    Defined|Event|Public
        (float Scale@0x0, component HairCom@0x4, component ClothComponent@0x8)
  SCRIPT   AlicePawn.AdjustCameraDistInLockOn                               415    Defined|Simulated|Public
        (object NPCPawn@0x0, float DistAliceToNPC@0x4, float CamDistDiff@0x8, float NPCDistDiff@0xc, float factor@0x10)
  SCRIPT   AlicePawn.AdjustCameraDistInLockOnBActor                         415    Defined|Simulated|Public
        (object NPCPawn@0x0, float DistAliceToNPC@0x4, float CamDistDiff@0x8, float NPCDistDiff@0xc, float factor@0x10)
  SCRIPT   AlicePawn.AdjustCombatCameraRotation                             1519   Defined|Simulated|Public|HasOutParms|HasDefaults
        (struct CamLocation@0x0, float fDeltaTime@0xc, struct AliceEyeRot@0x10, object APC@0x1c, object AliceCamera@0x20, struct NpcLocation@0x24, struct Middle@0x30, struct NPCDir@0x3c, struct AliceDir@0x48, struct BiasAngle@0x54, float DeltaAngle@0x60, float MiddleDelay@0x64, float Weight@0x68, float fPosX@0x6c, float fPosY@0x70, int DeltaRot@0x74, int FlagX@0x78, int FlagY@0x7c, bool bOutOfSight@0x80, bool bCurMiddleMode@0x84)
  SCRIPT   AlicePawn.AdjustSteamVentVelocity                                160    Defined|Event|Public|HasOutParms
        (object Volume@0x0, struct Curvelocity@0x4, float DeltaTime@0x10, struct ReturnValue@0x14, object HVolume@0x20)
  SCRIPT   AlicePawn.AliceForcePlayCameraAnim                               207    Defined|Simulated|Public|HasDefaults
        (object CameraAnimation@0x0, bool bLoop@0x4, object ReturnValue@0x8, object Camera@0xc, struct CAInfo@0x10)
  SCRIPT   AlicePawn.AliceForceStopCameraAnim                               187    Defined|Simulated|Public
        (object CameraAnimation@0x0, object Camera@0x4, int Index@0x8)
  SCRIPT   AlicePawn.AliceHairAir                                           229    Defined|Exec|Public
        ()
  SCRIPT   AlicePawn.AliceHairWater                                         229    Defined|Exec|Public
        ()
  SCRIPT   AlicePawn.AlicePlayCameraAnim                                    14     Defined|Simulated|Public
        (object CameraAnimation@0x0)
  NATIVE   AlicePawn.AliceSetMorphWeight                                    17     Simulated|Native|Public
        (component Component@0x0, name MorphNodeName@0x4, float MorphWeight@0xc)
  SCRIPT   AlicePawn.AliceStopCameraAnim                                    10     Defined|Simulated|Public
        ()
  SCRIPT   AlicePawn.AliceStopMotion                                        78     Defined|Exec|Public
        ()
  SCRIPT   AlicePawn.AliceUpdateCameraAnim                                  332    Defined|Event|Public
        (object Camera@0x0, object APC@0x4)
  SCRIPT   AlicePawn.AllowNPCAttach                                         44     Defined|Event|Public
        (bool ReturnValue@0x0)
  SCRIPT   AlicePawn.ApplyCameraOffset                                      173    Defined|Simulated|Public|HasDefaults
        (struct eyePos@0x0, struct ViewRot@0xc, struct Offset@0x18, struct ReturnValue@0x24, struct NewPos@0x30, struct NewOffset@0x3c, struct X@0x48, struct Y@0x54, struct Z@0x60)
  SCRIPT   AlicePawn.AttachNPC                                              536    Defined|Public
        (object PawnToBeAttached@0x0, bool ReturnValue@0x4, int SocketIndex@0x8, bool bSucceed@0xc, object APC@0x10, int Count@0x14)
  NATIVE   AlicePawn.AttachToEvent                                          7      Native|Public
        (class DesiredClass@0x0)
  SCRIPT   AlicePawn.AttachUmbrella                                         126    Defined|Simulated|Public
        ()
  SCRIPT   AlicePawn.AttachWatch                                            245    Defined|Public|HasDefaults
        (struct RelRot@0x0)
  SCRIPT   AlicePawn.BackupAliceCameraProperties                            223    Defined|Simulated|Event|Public|HasOutParms
        (struct ACP@0x0)
  SCRIPT   AlicePawn.BackupAliceCameraPropertiesWithFlags                   473    Defined|Simulated|Public|HasOutParms
        (struct Flag_ACP@0x0, struct ACP@0x78)
  SCRIPT   AlicePawn.BaseChange                                             286    Defined|Singular|Event|Public
        (object Dyn@0x0, bool bBaseChangeSuccess@0x4)
  SCRIPT   AlicePawn.BlendAliceCameraFloat                                  57     Defined|Simulated|Public|HasOutParms
        (float out_Float@0x0, float in_FlagFloat@0x4, float dest_Float@0x8, float src_Float@0xc, float BlendWeight@0x10)
  SCRIPT   AlicePawn.BlendAliceCameraProperties                             683    Defined|Simulated|Public
        (struct ACP@0x0, struct DestACP@0x78, struct SrcACP@0xf0, float BlendWeight@0x168)
  SCRIPT   AlicePawn.BlendAliceCameraRotator                                309    Defined|Simulated|Public|HasOutParms
        (struct out_Rotator@0x0, struct in_FlagRotator@0xc, struct dest_Rotator@0x18, struct src_Rotator@0x24, float BlendWeight@0x30)
  SCRIPT   AlicePawn.BlendAliceCameraVector                                 297    Defined|Simulated|Public|HasOutParms
        (struct out_vector@0x0, struct in_FlagVector@0xc, struct dest_Vector@0x18, struct src_Vector@0x24, float BlendWeight@0x30)
  SCRIPT   AlicePawn.BlendCameraPreset                                      535    Defined|Simulated|Public|HasDefaults
        (float DeltaTime@0x0, struct CamPreset@0x4, float DurationPct@0x7c, float BlendPct@0x80)
  SCRIPT   AlicePawn.BlendFPSCameraSettings                                 533    Defined|Simulated|Public
        (float fDeltaTime@0x0, bool bEnter@0x4, float Weight@0x8)
  SCRIPT   AlicePawn.BlendShrinkCameraDistance                              727    Defined|Simulated|HasOptionalParms|Public
        (float fDeltaTime@0x0, bool bShrinking@0x4, bool bForceSet@0x8, float Weight@0xc)
  SCRIPT   AlicePawn.BlendToTargetCameraDistance                            183    Defined|Simulated|Public
        (float Weight@0x0)
  SCRIPT   AlicePawn.Bump                                                   46     Defined|Event|Public
        (object Other@0x0, component OtherComp@0x4, struct HitNormal@0x8)
  SCRIPT   AlicePawn.CacheAnimNodes                                         320    Defined|Simulated|Public
        (object Node@0x0, int I@0x4)
  SCRIPT   AlicePawn.CalcCamera                                             657    Defined|Simulated|Public|HasOutParms
        (float fDeltaTime@0x0, struct out_CamLoc@0x4, struct out_CamRot@0x10, float out_FOV@0x1c, bool ReturnValue@0x20, bool Result@0x24, object APC@0x28)
  SCRIPT   AlicePawn.CalcCamera2D                                           600    Defined|Simulated|Public|HasOutParms|HasDefaults
        (object APC@0x0, float fDeltaTime@0x4, struct out_CamLoc@0x8, struct out_CamRot@0x14, bool ReturnValue@0x20, struct pos@0x24, struct AliceEyeLoc@0x30, float CamDistance@0x3c, float CamDistanceDelay@0x40, object AliceCamera@0x44, struct AliceEyeRot@0x48)
  SCRIPT   AlicePawn.CalcCamera3D                                           2039   Defined|Simulated|Public|HasOutParms|HasDefaults
        (object APC@0x0, float fDeltaTime@0x4, struct out_CamLoc@0x8, struct out_CamRot@0x14, bool ReturnValue@0x20, struct pos@0x24, struct POILocation@0x30, struct AliceEyeLoc@0x3c, struct DirY@0x48, struct DirX@0x54, struct TargetCamOffset@0x60, struct CamOffset@0x6c, float CamDistance@0x78, float CamMaxDistance@0x7c, float CamMinDistance@0x80, float CamDistanceDelay@0x84, float DeltaYaw@0x88, object AliceCamera@0x8c, struct PosOffset@0x90, struct AliceEyeRot@0x9c)
  SCRIPT   AlicePawn.CalcCameraInterp                                       171    Defined|Simulated|Public|HasOutParms|HasDefaults
        (object APC@0x0, float fDeltaTime@0x4, struct out_CamLoc@0x8, struct out_CamRot@0x14, bool ReturnValue@0x20, struct AliceEyeLoc@0x24, struct AliceEyeRot@0x30, float fElapsedTime@0x3c, object AliceCamera@0x40)
  SCRIPT   AlicePawn.CalcCameraSpecial                                      389    Defined|Simulated|Public|HasOutParms|HasDefaults
        (object APC@0x0, float fDeltaTime@0x4, struct out_CamLoc@0x8, struct out_CamRot@0x14, bool ReturnValue@0x20, float CamDistance@0x24, struct AliceEyeLoc@0x28, struct OffsetVector@0x34, struct AliceEyeRot@0x40, struct TargetEyeRot@0x4c, struct RM@0x60, object AliceCamera@0xa0)
  NATIVE   AlicePawn.CalcPositionOnLedge                                    7      Native|Public
        (object L@0x0, struct ReturnValue@0x4)
  SCRIPT   AlicePawn.CalcPotentialValue                                     349    Defined|Public|HasOutParms
        (struct TargetLoc@0x0, struct NewCoorLoc@0xc, float ReturnValue@0x18, float fResult@0x1c, float X@0x20, float Y@0x24, float Z@0x28, float P@0x2c, float Q@0x30, float A@0x34, float B@0x38, float C@0x3c, float D@0x40)
  SCRIPT   AlicePawn.CanDoContextAction                                     183    Defined|Simulated|Public
        (bool bClockBomb@0x0, bool ReturnValue@0x4)
  SCRIPT   AlicePawn.CanJump                                                824    Defined|Public
        (bool ReturnValue@0x0)
  SCRIPT   AlicePawn.CanPlayHysteriaAnim                                    68     Defined|Public
        (bool ReturnValue@0x0, object APC@0x4)
  NATIVE   AlicePawn.CanUnShrinking                                         2      Native|Public
        (bool ReturnValue@0x0)
  SCRIPT   AlicePawn.CannotJumpNow                                          96     Defined|Public
        (bool ReturnValue@0x0)
  SCRIPT   AlicePawn.CannotUnShrink                                         20     Defined|Public
        (bool ReturnValue@0x0)
  SCRIPT   AlicePawn.ChangeFloatCamera                                      23     Defined|Public
        ()
  SCRIPT   AlicePawn.ChangeWeaponLevelForHysteriaMode                       687    Defined|Public
        (bool bEnter@0x0, object W@0x4)
  SCRIPT   AlicePawn.ChangeWonderlandDress                                  128    Defined|HasOptionalParms|Public
        (byte NewDress@0x0, bool bShouldBlock@0x4, object pGFXMovie@0x8, bool bWithoutDressCheck@0xc, int ReturnValue@0x10)
  SCRIPT   AlicePawn.CheckCurrentHealth                                     517    Defined|Simulated|Public
        (float DeltaTime@0x0, int I@0x4, float HPPercentage@0x8)
  SCRIPT   AlicePawn.CheckHysteriaMode                                      1105   Defined|Public
        (float DeltaTime@0x0, object Horse@0x4, int CurrentHysteriaCounter@0x8, float HysteriaTriggerHealth@0xc, float HysteriaReactiveHealth@0x10)
  SCRIPT   AlicePawn.CheckPendingAndCurrentDress                            45     Defined|Public
        (byte DressID@0x0, bool ReturnValue@0x4)
  SCRIPT   AlicePawn.CheckSwitchTargetDelay                                 143    Defined|Simulated|Public
        (float fDeltaTime@0x0)
  SCRIPT   AlicePawn.ClampAngle                                             264    Defined|Public|HasOutParms
        (struct Angle@0x0)
  SCRIPT   AlicePawn.ClampVector                                            214    Defined|Public|HasDefaults
        (struct V@0x0, struct Min@0xc, struct Max@0x18, struct ReturnValue@0x24, struct vResult@0x30)
  SCRIPT   AlicePawn.ClearAliceCameraDelays                                 91     Defined|Simulated|Public
        ()
  SCRIPT   AlicePawn.ClearCamMatEffects                                     199    Defined|Simulated|Public
        (object LP@0x0, int I@0x4, object PPEffect@0x8)
  SCRIPT   AlicePawn.ClearDelayAttachWeapon                                 63     Defined|Simulated|Public
        ()
  SCRIPT   AlicePawn.ClearTimerToHideWeapon                                 38     Defined|Simulated|Public
        ()
  SCRIPT   AlicePawn.ClimbEdge                                              290    Defined|Public
        (object L@0x0, bool bAboveBeam@0x4)
  SCRIPT   AlicePawn.ConvertToPawnSpace                                     267    Defined|Public|HasOutParms|HasDefaults
        (struct InLoc@0x0, float X@0xc, float Y@0x10, float Z@0x14, struct _NewCoorLoc@0x18, struct NewLoc@0x24, struct cameraLoc@0x30, struct NewRot@0x3c, struct cameraRot@0x48)
  SCRIPT   AlicePawn.CostEndurance                                          78     Defined|Public
        (float DeltaTime@0x0, byte CostType@0x4, float costSpeed@0x8)
  SCRIPT   AlicePawn.CreateGhost                                            97     Defined|Event|Public
        (object ReturnValue@0x0, object Ghost@0x4)
  SCRIPT   AlicePawn.DeactivateDamage                                       132    Defined|Simulated|Public|HasDefaults
        (byte DamageStrength@0x0, struct DE@0x4, int I@0x14)
  SCRIPT   AlicePawn.DeactivateHealthLevel                                  155    Defined|Simulated|Public|HasDefaults
        (int Index@0x0, struct HL@0x4)
  SCRIPT   AlicePawn.DebugLeaveHysteria                                     11     Defined|Public
        ()
